%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1692286067259178339,9,1692286067257931553,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.048982745968078056,-0.7741105667188533,0.019486403334722346,-2.333400309117267,-0.012997593875642243,1.5457330495391166,0.7925698161370764,-0.11036037254063032,0.028259699597414433,0.04296853265548783,0.051827220563695986,-0.03960767798103914,-0.05863529051338738,0.002485612811466968,0.09984183311462402,-3.0151920318603516,-0.0020856857299804688,21.83804702758789,0.4756612479686737,1.7411130666732788,-0.08533420413732529
1692286067292715703,10,1692286067291718249,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.05258262071742309,-0.7729381182265554,0.02098202698158552,-2.331583738005101,-0.014258296657461318,1.5438822858644616,0.792576566203339,-0.10429978290958326,0.03839872799748815,0.037840306815941346,0.04985538845587126,-0.03525823093686123,-0.052069245578216246,-0.0008896785848153178,-0.08662056922912598,-3.1619815826416016,-0.11316967010498047,21.99277114868164,0.4335469901561737,1.7200559377670288,-0.15033665299415588
1692286067327597529,11,1692286067325750334,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.056180010604930934,-0.7717089979850723,0.022462377112239973,-2.329728714562158,-0.015412648366190775,1.5421826074085638,0.792570175001113,-0.10734678326434904,0.040343920616407965,0.043628637005566254,0.05344050310529425,-0.03128442177766561,-0.0489510431161533,-0.003964688989814247,-0.19770455360412598,-3.4198551177978516,-0.29963207244873047,22.10782241821289,0.4033345878124237,1.7475217580795288,-0.09174289554357529
1692286067360904947,12,1692286067359749776,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.05978615500219611,-0.7704985894798896,0.023826270485163812,-2.3277857867663756,-0.016594137910793817,1.5404811618957623,0.7925687464323861,-0.10801977702858037,0.03582006630277175,0.03760315755843453,0.056415060305185664,-0.031229829448810264,-0.04744029792637745,-0.0015658169351922345,0.024463415145874023,-3.4952335357666016,-0.11316967010498047,21.99277114868164,0.4097432792186737,1.7200559377670288,-0.07892551273107529
1692286067394748568,13,1692286067393707276,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.06316837220709072,-0.7693329018100128,0.02502050942469975,-2.3257720286526125,-0.01782550553783182,1.538884174588663,0.7925745491881389,-0.103105669623859,0.035897296059652674,0.035690179874092065,0.06347511473270913,-0.03583980562393046,-0.05163811826294992,0.0004414170489540835,0.024463415145874023,-3.3484439849853516,-0.07746410369873047,22.03244400024414,0.3914327323436737,1.7694944143295288,-0.13111057877540588
1692286067428412321,14,1692286067427679788,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.06655251687579623,-0.7682049105562813,0.02623279381777362,-2.3236425977668356,-0.018965505119006094,1.5372832254137567,0.7925773842480126,-0.0959978783790022,0.03845312540326109,0.03980437610930099,0.06702285649986395,-0.03211047517614758,-0.04589854177726163,0.001270329074779338,0.13554739952087402,-3.3841495513916016,-0.03779125213623047,21.91739273071289,0.3795308768749237,1.7200559377670288,-0.15674534440040588
1692286067462368637,15,1692286067461747556,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.06986555302760389,-0.7671235655761114,0.027458764601227648,-2.3216440887162286,-0.02010619931188344,1.5358433132077023,0.7925772782868914,-0.0956585160008879,0.029861868284487024,0.034182221374095656,0.05129362066656811,-0.0377394814859283,-0.04675851137658552,0.011830935547128447,-0.015209436416625977,-3.2373600006103516,-0.07746410369873047,21.79837417602539,0.3795308768749237,1.7200559377670288,-0.15674534440040588
1692286067496717551,16,1692286067495855903,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0731415771050842,-0.7659907644916027,0.028648467759862708,-2.3197863074028287,-0.02126454404176095,1.5343370420406526,0.792573476304611,-0.09442291209261161,0.03508453980821316,0.03818274274514269,0.05536097829103087,-0.027105424408746106,-0.04441398426077001,0.0006856719887822091,0.06016898155212402,-3.2016544342041016,-0.11316967010498047,21.91739273071289,0.3914327323436737,1.7337888479232788,-0.13111057877540588
1692286067530372447,17,1692286067529725202,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.07627459607321638,-0.764802420544077,0.029744662409320326,-2.3179863560979608,-0.022364398551574568,1.5329367625369326,0.7925723068164258,-0.09186208079741211,0.03817048893879534,0.027412735474669866,0.05193586674870311,-0.03259665593678268,-0.03843465586921976,0.0004203037455247215,0.06016898155212402,-3.2373600006103516,-0.07746410369873047,22.07211685180664,0.3795308768749237,1.7337888479232788,-0.11096896976232529
1692286067564554322,18,1692286067563693105,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.07944307692925286,-0.7635252568334655,0.030841647517530983,-2.3160715026951277,-0.023526932679008,1.5315027868456348,0.7925672249679657,-0.09356620150135997,0.04209745150739049,0.030060757700055573,0.056276743260531455,-0.030213234402120343,-0.043990206800773056,-0.002124510283881699,0.024463415145874023,-3.3841495513916016,-0.33533763885498047,21.99277114868164,0.3676290214061737,1.7264646291732788,-0.06519260257482529
1692286067598930631,19,1692286067597700801,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.08253959191829015,-0.7622037693016154,0.031878889283310285,-2.3141136059259955,-0.02467383612429137,1.530193052287704,0.7925680387706471,-0.09572400693497807,0.03523601509299652,0.031747658709504245,0.053537592464380425,-0.03822608002837042,-0.03483287926947529,0.0010609087073056719,-0.08662056922912598,-3.4555606842041016,-0.18854808807373047,22.10782241821289,0.3731221854686737,1.7337888479232788,-0.07251682132482529
1692286067632855193,20,1692286067631676382,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.08562048729577018,-0.7608781839698957,0.03285032572533028,-2.312104363278627,-0.025791590910393104,1.5288475060388957,0.7925694565664642,-0.08075244327985029,0.04013523233333539,0.030728418558732915,0.0590826777220911,-0.03225874267415802,-0.03830984947715792,-0.0009905746625982906,-0.12629342079162598,-3.5666446685791016,-0.33533763885498047,22.03244400024414,0.3374166190624237,1.7264646291732788,-0.09815158694982529
1692286067666291541,21,1692286067665010367,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.08848499584737912,-0.7596318801859452,0.03366825706763581,-2.310120190220552,-0.026876640114614457,1.5275067330017884,0.7925701749830129,-0.08188301679692976,0.035342890920133145,0.028093391423789815,0.05943764588326576,-0.039113676178663036,-0.04515055171902187,-0.001203257871735257,0.06016898155212402,-3.4555606842041016,-0.18854808807373047,21.91739273071289,0.3493184745311737,1.7548459768295288,-0.09174289554357529
1692286067699864656,22,1692286067698658480,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.09138007837091551,-0.7583359282236873,0.034514794631217205,-2.3081319566049476,-0.02793406629726075,1.52622975572612,0.7925745491882163,-0.0842669582756734,0.034359944445847515,0.025603662994735238,0.05619581342742763,-0.02829415901973158,-0.036134583292378335,0.00038351344797206817,0.06016898155212402,-3.4198551177978516,-0.07746410369873047,21.79837417602539,0.3612203299999237,1.7127317190170288,-0.13111057877540588
1692286067733388357,23,1692286067732670711,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.09426885761329615,-0.7570473329192835,0.035397383268056075,-2.3062679507945547,-0.028932250312230578,1.5249150552296256,0.7925715991550607,-0.07992561368305261,0.04103074641229592,0.024718764120197075,0.06042820322945376,-0.030716463894667485,-0.028750439635255042,-0.00029661583438709893,-0.015209436416625977,-3.5666446685791016,-0.29963207244873047,21.76266860961914,0.3374166190624237,1.7200559377670288,-0.10456027835607529
1692286067767473378,24,1692286067766703271,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.09712249320972757,-0.7557540700758525,0.03625603363938834,-2.3044587861311787,-0.02999266202410579,1.523734321382197,0.7925701750011792,-0.08279274299290389,0.040205783616896786,0.025633022276152554,0.05463481095129736,-0.02712265131566994,-0.03195532621938274,-0.00039412130817739397,-0.015209436416625977,-3.6420230865478516,-0.22425365447998047,22.10782241821289,0.3374166190624237,1.7832273244857788,-0.09174289554357529
1692286067801388316,25,1692286067800699979,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.09990803023885836,-0.7544437633275419,0.03704910212435351,-2.3025515535225636,-0.031043073108919413,1.5225933745792843,0.7925745491882163,-0.0796109776579547,0.03652256840273056,0.025050430886698317,0.05977814069394951,-0.027623353291285714,-0.03524835745216,0.0006516848753482213,0.024463415145874023,-3.8245182037353516,-0.29963207244873047,22.03244400024414,0.3374166190624237,1.7411130666732788,-0.13111057877540588
1692286067836038002,26,1692286067834792351,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.10256838127874267,-0.7531767899515617,0.03777608891219602,-2.3005881232731444,-0.03202777408513831,1.5214805117992647,0.7925759733418613,-0.07816613475524284,0.032417133532758546,0.022367129747804707,0.05849561849333354,-0.029382044410070522,-0.029520436263303963,0.000937702103704145,-0.08662056922912598,-3.7491397857666016,-0.29963207244873047,21.95309829711914,0.3557271659374237,1.7694944143295288,-0.14392796158790588
1692286067869535401,27,1692286067868672236,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1052918376476757,-0.7518995115945906,0.03846519499637334,-2.2985442231200257,-0.03302342330414211,1.5204567099736133,0.7925752612650392,-0.08000523968548143,0.03813539924085395,0.024120216955129822,0.053007673884951416,-0.027585770298679625,-0.025978765526120867,0.0009856122514961293,-0.05091500282287598,-3.6777286529541016,-0.29963207244873047,21.99277114868164,0.3429097831249237,1.7411130666732788,-0.13751927018165588
1692286067903365448,28,1692286067902677358,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.10794240565748636,-0.7506298862098483,0.039112938952747964,-2.2965003170054774,-0.034015526075965995,1.5194445353592954,0.7925745491882163,-0.08470578209469863,0.036679082014728456,0.01917169809193956,0.05361208854020801,-0.02243481314314263,-0.022041284189354648,0.000903518869134606,-0.05091500282287598,-3.6023502349853516,-0.26392650604248047,21.79837417602539,0.3676290214061737,1.6843503713607788,-0.13111057877540588
1692286067937255919,29,1692286067936690847,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.11064233911684788,-0.7492983580509457,0.039740648456822236,-2.294583182019588,-0.03491555684293372,1.518422114976463,0.7925745491882163,-0.07254163078758105,0.03753128865119025,0.02150151578167773,0.05574380319842165,-0.021343020786374216,-0.032289327020589495,0.001000811741511858,0.17125296592712402,-3.6023502349853516,-0.22425365447998047,21.83804702758789,0.3676290214061737,1.7548459768295288,-0.13111057877540588
1692286067971378556,30,1692286067970726481,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.11318124963854914,-0.7479048216654832,0.04031509623623114,-2.292775162651585,-0.03581626032162718,1.5174922576262184,0.7925694629243676,-0.07296170314506173,0.040212021253566245,0.01982688975649262,0.050182913084597824,-0.028434416487681875,-0.024302340714084734,-0.001223637374112668,0.09984183311462402,-3.8245182037353516,-0.22425365447998047,21.91739273071289,0.3493184745311737,1.7475217580795288,-0.08533420413732529
1692286068005523642,31,1692286068004679438,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.11562229947306316,-0.7465045705243929,0.040916704918662825,-2.2910006347197194,-0.036739802413629674,1.5165715181378274,0.7925766854207039,-0.07734817338029717,0.035567056222857926,0.019458530745798112,0.05443849565424165,-0.024305437679177845,-0.026086236147766926,0.0012521245597155364,-0.015209436416625977,-3.8602237701416016,-0.22425365447998047,22.07211685180664,0.3612203299999237,1.7127317190170288,-0.15033665299415588
1692286068039394952,32,1692286068038692760,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.11808622581296394,-0.7450857034761209,0.041528409518478165,-2.2891390467040913,-0.03762134883259336,1.515657900208044,0.7925759733355814,-0.07237077655709541,0.032963683036666226,0.014186551414350781,0.05416183089306863,-0.029179610788417663,-0.029811956335630274,0.0010843614830573591,-0.12629342079162598,-3.9356021881103516,-0.33533763885498047,22.07211685180664,0.3429097831249237,1.7337888479232788,-0.14392796158790588
1692286068073441198,33,1692286068072736364,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.12050475981799735,-0.7436763309674338,0.04205158086706132,-2.287206662271842,-0.03847618073819012,1.5148108632031794,0.7925694624337613,-0.07924494760224517,0.038637369808452844,0.012710203864128215,0.06461451151864539,-0.02766400943939236,-0.019992104698768467,0.0002878972368171367,0.09984183311462402,-4.118097305297852,-0.29963207244873047,22.10782241821289,0.3429097831249237,1.7475217580795288,-0.08533420413732529
1692286068107385931,34,1692286068106663114,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1229446790205427,-0.7423370293262413,0.04253358004349226,-2.285174745542902,-0.039310622963991515,1.51399450663898,0.7925701749466825,-0.07043957477222433,0.03887892255788038,0.01657323727681091,0.06238560065492731,-0.024495669907203938,-0.019038615642001093,-0.001181541430325492,-0.08662056922912598,-4.118097305297852,-0.33533763885498047,21.91739273071289,0.3310079276561737,1.7127317190170288,-0.09174289554357529
1692286068141653829,35,1692286068140714484,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1253282684246372,-0.7410746123324282,0.04298392734286631,-2.2831750920114944,-0.040177890583384085,1.5132499450036112,0.7925762085815269,-0.0674949217912494,0.03205384107871195,0.013055719406385603,0.058597815929376657,-0.028619489667430466,-0.021662491022820626,0.001833563666377395,0.09984183311462402,-3.8245182037353516,-0.14887523651123047,21.91739273071289,0.3557271659374237,1.7264646291732788,-0.15033665299415588
1692286068175755324,36,1692286068174687781,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.12760709152578006,-0.739820918871724,0.04341846248014036,-2.2812790883522935,-0.04095511491812593,1.512481951011701,0.7925701735294709,-0.06590377070097768,0.038593811274790585,0.018091714487416678,0.05503630996966575,-0.013599300531104048,-0.017497792044371418,-0.0008984206638543323,0.024463415145874023,-3.8998966217041016,-0.26392650604248047,21.72299575805664,0.3310079276561737,1.6916745901107788,-0.09174289554357529
1692286068209428314,37,1692286068208692523,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.12984631733126084,-0.7385326527576432,0.04385653995900327,-2.2794941269419673,-0.041707244232648155,1.5117340233970602,0.792573123562023,-0.06910290309884162,0.036628668676704265,0.019029769733525707,0.04697956545657807,-0.02461322607417155,-0.024329730511944845,-0.0001179263884631413,-0.05091500282287598,-3.8602237701416016,-0.37501049041748047,21.83804702758789,0.3374166190624237,1.7200559377670288,-0.11829318851232529
1692286068243245463,38,1692286068242677472,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.13213004037288803,-0.7371612879035381,0.04427993835713304,-2.2776876895038023,-0.04247788067318051,1.5110132194066892,0.7925731250337418,-0.06103639090984669,0.04024254133666222,0.01313386210837717,0.05952182405404692,-0.02150976203680576,-0.020344108275326154,0.00014006792758007418,0.06016898155212402,-3.9356021881103516,-0.29963207244873047,21.87771987915039,0.3612203299999237,1.6989988088607788,-0.11829318851232529
1692286068278202510,39,1692286068276706362,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.13433366508941433,-0.7356975007749347,0.04467831408606737,-2.275805319066878,-0.043288262886438805,1.5103366978653059,0.7925715991548361,-0.06459506122102311,0.04232980680413324,0.007958586287879718,0.05188261313048343,-0.02301978206020199,-0.01962689880793226,-0.00031854660290110275,-0.08662056922912598,-4.153802871704102,-0.37501049041748047,21.87771987915039,0.3310079276561737,1.6559690237045288,-0.10456027835607529
1692286068311479698,40,1692286068310666632,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.13658344769298925,-0.7342331754280471,0.045053817880475494,-2.2738904396039783,-0.04406417575401414,1.5096807090884332,0.7925723067620173,-0.0677100616666227,0.04361309760851252,0.009806660067655815,0.057587113665622566,-0.013380528393388737,-0.02453768415537129,-7.011935669302645e-06,0.09984183311462402,-4.264886856079102,-0.26392650604248047,21.87771987915039,0.3557271659374237,1.7054075002670288,-0.11096896976232529
1692286068345346024,41,1692286068344672888,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.13872516195148246,-0.7327766448871527,0.04540364978250092,-2.271908937588722,-0.044782879598713764,1.5089952300205094,0.7925683900407645,-0.05861614788269272,0.04145418293017747,0.008787749000744317,0.05914891312189519,-0.025369439327653197,-0.02502053941449905,-0.0013404845908705728,0.06016898155212402,-4.340265274047852,-0.22425365447998047,21.95309829711914,0.3493184745311737,1.7337888479232788,-0.08533420413732529
1692286068379660822,42,1692286068378861112,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1407948226204525,-0.73138519423393,0.045741412541338254,-2.2699797261632493,-0.045489876885721946,1.5083859621940299,0.7925723111771512,-0.059466961896476406,0.03571487976278729,0.01034399954024257,0.055416776916985974,-0.02022135987460937,-0.020201316404253544,-0.0004069977889924002,0.024463415145874023,-4.340265274047852,-0.29963207244873047,21.87771987915039,0.3255147635936737,1.7337888479232788,-0.11096896976232529
1692286068413688254,43,1692286068412752913,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.14282659530611022,-0.7300423008714021,0.046064149851977,-2.2681996236861464,-0.046175138601081474,1.507807121619405,0.7925738370553845,-0.06405603955837477,0.037574781869491244,0.008874256677670419,0.04643183926284741,-0.023456187739233508,-0.009281082404871297,0.0007079710920608373,0.024463415145874023,-4.229181289672852,-0.37501049041748047,21.87771987915039,0.3374166190624237,1.6770261526107788,-0.12470187991857529
1692286068447713502,44,1692286068446655256,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.14487194704573023,-0.728706633967805,0.046353230422521145,-2.266485795857521,-0.046872334486129326,1.5072019329896715,0.7925737929589021,-0.05937966370700202,0.03950004395267625,0.01242767629168076,0.048761398645488556,-0.01687677414718988,-0.012345273094008302,0.0003061446393319376,0.09984183311462402,-4.300592422485352,-0.29963207244873047,21.83804702758789,0.3429097831249237,1.7054075002670288,-0.12470187991857529
1692286068481837151,45,1692286068480706516,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.14690690831050132,-0.7273380609443395,0.046618533031464064,-2.264743537282222,-0.04753353484875578,1.5066316002443614,0.7925687374324873,-0.060810516519917,0.04535206909106902,0.00702131431873056,0.05061234948215567,-0.019264056127070897,-0.013688910433062904,-0.0006677243839455053,0.06016898155212402,-4.558465957641602,-0.29963207244873047,22.03244400024414,0.3676290214061737,1.7200559377670288,-0.07892551273107529
1692286068515690383,46,1692286068514665288,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1489405035980004,-0.7259678534162691,0.04685853650001126,-2.2629053087255877,-0.04814848817913847,1.5060822213084568,0.7925723112316594,-0.057679421762815326,0.039168987075888666,0.004130421563047072,0.05158041113483918,-0.014673551714330896,-0.01523875546964625,0.00035236854657750714,-0.05091500282287598,-4.522760391235352,-0.29963207244873047,21.91739273071289,0.3493184745311737,1.6989988088607788,-0.11096896976232529
1692286068549567779,47,1692286068548713435,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1508794073249604,-0.7246071926431865,0.04703848693583844,-2.261039942966278,-0.048743260638891596,1.5055702342401218,0.7925733602713886,-0.05690159628777777,0.042402505849003784,0.007063112098912073,0.055054158912689284,-0.017613717415894244,-0.011883757330621704,9.198675458522576e-05,-0.05091500282287598,-4.447381973266602,-0.22425365447998047,21.95309829711914,0.3493184745311737,1.7337888479232788,-0.12470187991857529
1692286068583525585,48,1692286068582673650,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.15282601730665715,-0.7232246683626372,0.04721435966171324,-2.259122692404925,-0.049352806163396,1.5050985284339629,0.7925689713700105,-0.06196332989452134,0.03782913616096025,0.005360873692587964,0.05479395174972681,-0.012151232218852854,-0.01634343347983933,-0.001224643815373238,0.06016898155212402,-4.487054824829102,-0.22425365447998047,21.87771987915039,0.3493184745311737,1.7054075002670288,-0.08533420413732529
1692286068617810837,49,1692286068616954220,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1546610004022099,-0.7218462295308798,0.04737822897790415,-2.2572102920703125,-0.04995927656120939,1.5046705828001548,0.7925731250337583,-0.05273237206714423,0.0401343066089092,0.002587350206323635,0.055745831264933196,-0.017227365685038888,-0.011593741951988864,0.00039006675084964017,-0.015209436416625977,-4.340265274047852,-0.41071605682373047,21.72299575805664,0.3255147635936737,1.6495603322982788,-0.11829318851232529
1692286068651613531,50,1692286068650679824,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1565365662475028,-0.7204255625638644,0.04755742389281807,-2.2553954464767485,-0.05050358786362765,1.5042390413961158,0.7925752612105228,-0.05481197203375854,0.0387201784929008,0.002305071922253729,0.05040502908999524,-0.011522978244765865,-0.016524017248212567,0.0008798809149950038,-0.015209436416625977,-4.411676406860352,-0.26392650604248047,21.76266860961914,0.3429097831249237,1.7054075002670288,-0.13751927018165588
1692286068685642388,51,1692286068684722346,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.15837983148337548,-0.719009265397045,0.04769707447142667,-2.2537218524166343,-0.05103470465834772,1.5038387544673844,0.7925672244235572,-0.0541979963820004,0.03975875349565749,0.001384939475035296,0.04680801216033225,-0.024216389705162596,-0.011097551498153722,-0.0013891216430842266,-0.05091500282287598,-4.522760391235352,-0.33533763885498047,21.83804702758789,0.3493184745311737,1.6843503713607788,-0.06519260257482529
1692286068719745337,52,1692286068718661538,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.16021369287029733,-0.7175774757440915,0.04779891247704431,-2.252059005298966,-0.05155605866938052,1.5034295290457713,0.7925763277908164,-0.05424178958245353,0.03804591943196806,0.0070759268040968635,0.05002485417433755,-0.018014403261109892,-0.008861260403635733,0.0012410402305923537,-0.12629342079162598,-4.891717910766602,-0.37501049041748047,22.03244400024414,0.3374166190624237,1.7411130666732788,-0.15033665299415588
1692286068753731207,53,1692286068752715071,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.16211717474870613,-0.7161959216270943,0.04792646825738072,-2.2502876796287565,-0.05205568636959719,1.5030451414004877,0.7925738326408902,-0.052412220970541955,0.04591357918980659,0.0014200630089787887,0.05832999566656353,-0.01599800435562753,-0.012269014192634492,-0.0005565405338047146,-0.015209436416625977,-4.852045059204102,-0.37501049041748047,21.95309829711914,0.3310079276561737,1.7127317190170288,-0.12470187991857529
1692286068787669232,54,1692286068786721595,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.16387926572977146,-0.7148796602811126,0.04798295202511672,-2.24845280078615,-0.052543149213552354,1.5026906460403615,0.7925708870797804,-0.05248901335122746,0.03896696998358603,0.0019248704267468247,0.057813423697243994,-0.01447376470762213,-0.0057583610426019585,0.00027286917451626675,-0.05091500282287598,-4.780633926391602,-0.26392650604248047,21.83804702758789,0.3191060721874237,1.6989988088607788,-0.09815158694982529
1692286068821291324,55,1692286068820704846,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1655851737763556,-0.7135909229025198,0.04804035446123908,-2.2465701319222036,-0.0530390651916604,1.5023431564374286,0.7925723112316261,-0.046074158387004946,0.041633468713812856,0.0004234416447573654,0.051434971801976544,-0.0074659232638392276,-0.00996362026226359,0.000737726472884115,0.06016898155212402,-4.633844375610352,-0.26392650604248047,21.87771987915039,0.3429097831249237,1.7200559377670288,-0.11096896976232529
1692286068855507602,56,1692286068854714499,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.1672303182280915,-0.7122885579066858,0.04811106980214998,-2.244690761441246,-0.053489599757755496,1.5020164366541053,0.7925680343553304,-0.047547600467391524,0.03714279754459567,0.003316186356931682,0.05277649837006521,-0.010796782802564072,-0.014819300779257815,-0.0014844137707896016,0.024463415145874023,-4.633844375610352,-0.22425365447998047,21.79837417602539,0.3374166190624237,1.7264646291732788,-0.07251682132482529
